[2025-05-02 15:49:44] [INFO    ] discord.client: logging in using static token
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1365738064374140998', 'username': 'Coordis Bot', 'avatar': 'aeab40ef08d53ed807ec0850fca4ea40', 'discriminator': '8690', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-05-02 15:49:45] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1365738064374140998', 'name': 'Coordis Bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1365738064374140998', 'username': 'Coordis Bot', 'avatar': 'aeab40ef08d53ed807ec0850fca4ea40', 'discriminator': '8690', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '864a6af1e823305e78009f8d9c6939f227c5cc2065dac8ff1adc8a0be6207edb', 'flags': 565504, 'hook': True, 'storefront_available': False, 'redirect_uris': [None], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '124077298063245312', 'username': 'icyink', 'avatar': '8d12df0b3d68a8e8528d0f88e47e8f8b', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Ink', 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-05-02 15:49:45] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-05-02 15:49:45] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-ktzr",{"micros":0.0}]']}}
[2025-05-02 15:49:45] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-05-02 15:49:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-05-02 15:49:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Coordis Bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1365738064374140998', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '8690', 'clan': None, 'bot': True, 'avatar': 'aeab40ef08d53ed807ec0850fca4ea40'}, 'session_type': 'normal', 'session_id': '9209ffecce592bc90f96358bcf2ce7fc', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1365737917292740671'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['seattle', 'oregon', 'santa-clara', 'us-west', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1365738064374140998', 'flags': 565504}, '_trace': ['["gateway-prd-us-east1-b-ktzr",{"micros":166785,"calls":["id_created",{"micros":665,"calls":[]},"session_lookup_time",{"micros":1196,"calls":[]},"session_lookup_finished",{"micros":15,"calls":[]},"discord-sessions-prd-2-34",{"micros":164641,"calls":["start_session",{"micros":158714,"calls":["discord-api-rpc-57698c67d9-bspsb",{"micros":139549,"calls":["get_user",{"micros":40613},"get_guilds",{"micros":3970},"send_scheduled_deletion_message",{"micros":6},"guild_join_requests",{"micros":1},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1179},"apex_user_experiments",{"micros":3},"user_activities",{"micros":1}]}]},"starting_guild_connect",{"micros":23,"calls":[]},"presence_started",{"micros":451,"calls":[]},"guilds_started",{"micros":55,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":5349,"calls":[]},"connect_finished",{"micros":5383,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-05-02 15:49:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-02 15:49:46] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 9209ffecce592bc90f96358bcf2ce7fc).
[2025-05-02 15:49:46] [DEBUG   ] discord.client: Dispatching event connect
[2025-05-02 15:49:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'hub_type': None, 'joined_at': '2025-04-29T10:20:14.654911+00:00', 'default_message_notifications': 0, 'icon': None, 'voice_states': [], 'profile': None, 'rules_channel_id': None, 'large': False, 'member_count': 3, 'premium_subscription_count': 0, 'embedded_activities': [], 'nsfw': False, 'preferred_locale': 'en-US', 'id': '1365737917292740671', 'moderator_reporting': None, 'mfa_level': 0, 'name': 'Bot Testing', 'splash': None, 'application_command_counts': {}, 'public_updates_channel_id': None, 'system_channel_flags': 0, 'premium_tier': 0, 'premium_features': None, 'discovery_splash': None, 'threads': [], 'presences': [{'user': {'id': '124077298063245312'}, 'status': 'online', 'processed_at_timestamp': 1746224332679, 'client_status': {'desktop': 'online'}, 'activities': []}, {'user': {'id': '1365738064374140998'}, 'status': 'online', 'processed_at_timestamp': 0, 'client_status': {'web': 'online'}, 'activities': []}], 'vanity_url_code': None, 'nsfw_level': 0, 'max_video_channel_users': 25, 'region': 'deprecated', 'emojis': [], 'description': None, 'latest_onboarding_question_id': None, 'verification_level': 0, 'lazy': True, 'home_header': None, 'max_members': 500000, 'roles': [{'version': 1745687694095, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1365737917292740671', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1745981367688, 'unicode_emoji': None, 'tags': {'bot_id': '1365738064374140998'}, 'position': 2, 'permissions': '1707535116004416', 'name': 'Coordis Bot', 'mentionable': False, 'managed': True, 'id': '1366720730212995094', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1745981367847, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '1544792227438449', 'name': 'bot testing', 'mentionable': False, 'managed': False, 'id': '1366969406474944585', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'premium_progress_bar_enabled': False, 'stickers': [], 'unavailable': False, 'members': [{'user': {'username': 'icyink', 'public_flags': 0, 'primary_guild': None, 'id': '124077298063245312', 'global_name': 'Ink', 'display_name': 'Ink', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '8d12df0b3d68a8e8528d0f88e47e8f8b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-26T17:14:53.681000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'gaurav186501', 'public_flags': 0, 'primary_guild': None, 'id': '797201917063200829', 'global_name': 'Gaurav', 'display_name': 'Gaurav', 'discriminator': '0', 'collectibles': None, 'clan': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'd4e22cd6055fbb31d3108d93ea54d22a'}, 'roles': ['1366969406474944585'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-29T22:19:48.274000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Coordis Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1365738064374140998', 'global_name': None, 'display_name': None, 'discriminator': '8690', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aeab40ef08d53ed807ec0850fca4ea40'}, 'roles': ['1366720730212995094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-29T10:20:14.654911+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'application_id': None, 'channels': [{'version': 1745687694100, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1365737919104422019', 'flags': 0}, {'version': 1745687694103, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1365737919104422020', 'flags': 0}, {'version': 1745687694109, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1365737919104422019', 'name': 'general', 'last_message_id': '1367996400704426034', 'id': '1365737919104422021', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1745687694115, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1365737919104422020', 'name': 'General', 'last_message_id': None, 'id': '1365737919104422022', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'guild_scheduled_events': [], 'activity_instances': [], 'afk_channel_id': None, 'safety_alerts_channel_id': None, 'inventory_settings': None, 'features': [], 'owner_id': '124077298063245312', 'banner': None, 'explicit_content_filter': 0, 'stage_instances': [], 'system_channel_id': '1365737919104422021', 'soundboard_sounds': [], 'version': 1745687694588, 'afk_timeout': 300, 'incidents_data': None, 'max_stage_video_channel_users': 50}}
[2025-05-02 15:49:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-02 15:49:46] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-05-02 15:49:48] [DEBUG   ] discord.client: Dispatching event ready
[2025-05-02 15:49:48] [ERROR   ] discord.client: Ignoring exception in on_ready
Traceback (most recent call last):
  File "E:\bcit\7082\coordisalpha2\.venv\Lib\site-packages\discord\client.py", line 481, in _run_event
    await coro(*args, **kwargs)
  File "E:\bcit\7082\coordis\main.py", line 39, in on_ready
    get_response('hi')
TypeError: get_response() missing 1 required positional argument: 'username'
[2025-05-02 15:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-02T22:49:51.765000+00:00', 'pinned': False, 'nonce': '1367996541985357824', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-26T17:14:53.681000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1367996542023372822', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!event assignmentweekly 2025', 'components': [], 'channel_type': 0, 'channel_id': '1365737919104422021', 'author': {'username': 'icyink', 'public_flags': 0, 'primary_guild': None, 'id': '124077298063245312', 'global_name': 'Ink', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '8d12df0b3d68a8e8528d0f88e47e8f8b'}, 'attachments': [], 'guild_id': '1365737917292740671'}}
[2025-05-02 15:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-02 15:49:52] [DEBUG   ] discord.client: Dispatching event message
[2025-05-02 15:49:52] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-05-02T22:49:51.993000+00:00', 'pinned': False, 'nonce': '13680544171162087483', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1366720730212995094'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-04-29T10:20:14.654911+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1367996542979674244', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Event: assignmentweekly due at: 2025 added.', 'components': [], 'channel_type': 0, 'channel_id': '1365737919104422021', 'author': {'username': 'Coordis Bot', 'public_flags': 0, 'primary_guild': None, 'id': '1365738064374140998', 'global_name': None, 'discriminator': '8690', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aeab40ef08d53ed807ec0850fca4ea40'}, 'attachments': [], 'guild_id': '1365737917292740671'}}
[2025-05-02 15:49:52] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-05-02 15:49:52] [DEBUG   ] discord.client: Dispatching event message
[2025-05-02 15:49:52] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1365737919104422021/messages with {"content":"Event: assignmentweekly due at: 2025 added.","components":[],"nonce":"13680544171162087483","enforce_nonce":true,"tts":false} has returned 200
[2025-05-02 15:49:52] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
